hhid,plotid,cropid,sa3q1,sa3q2,sa3q3,sa3q4,sa3q4b,sa3q5a,sa3q5b,sa3q6a,sa3q6b,sa3q7,sa3q8a,sa3q8b,sa3q9,sa3q10,sa3q11a,sa3q11b,sa3q12,sa3q13,sa3q14,sa3q15a,sa3q15b,sa3q15c,sect4q16a,sa3q16b,sa3q17,sa3q18,sa3q19a,sa3q19b,sa3q20a,sa3q20b,sa3q21a,sa3q21b,sa3q22a,sa3q22b,sa3q23a,sa3q23b
10025.0,1.0,2.0,PUMKIN,2190.0,1.0,,,100.0,1.0,5.0,61.0,2.0,,,2.0,,,,,,,,,,,,,2500.0,4.0,61.0,0.0,,0.0,,1.0,61.0,0.0,
10025.0,1.0,3.0,YAM,1120.0,1.0,,,100.0,1.0,30.0,51.0,2.0,,,2.0,,,,,,,,,,,,,3000.0,0.0,,30.0,51.0,0.0,,0.0,,0.0,
10025.0,2.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025.0,2.0,2.0,MAIZE,1080.0,1.0,,,900.0,3.0,3.0,21.0,2.0,,,2.0,,,,,,,,,,,,,5000.0,2.0,21.0,0.0,,0.0,,1.0,21.0,0.0,
10025.0,3.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025.0,3.0,2.0,OIL PALM TREE,3180.0,1.0,,,80.0,1.0,2.0,92.0,2.0,,,1.0,N1,1.0,92.0,3000.0,1.0,2.0,,,,,,,3000.0,1.0,92.0,0.0,,0.0,,0.0,,0.0,
10025.0,4.0,1.0,FALLOW FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026.0,1.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026.0,1.0,2.0,MAIZE,1080.0,1.0,,,350.0,3.0,5.0,21.0,2.0,,,1.0,N1,4.0,21.0,2000.0,1.0,2.0,,,,,,,2500.0,1.0,21.0,0.0,,0.0,,0.0,,0.0,
10026.0,2.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026.0,2.0,2.0,MAIZE,1080.0,1.0,,,500.0,3.0,3.0,21.0,2.0,,,1.0,N1,2.0,21.0,1000.0,1.0,2.0,,,,,,,1500.0,0.0,,1.0,21.0,0.0,,0.0,,0.0,
10026.0,3.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026.0,3.0,2.0,MAIZE,1080.0,1.0,,,400.0,3.0,2.0,21.0,2.0,,,1.0,N1,2.0,21.0,1000.0,1.0,2.0,,,,,,,1000.0,0.0,,0.0,,0.0,,0.0,,0.0,
10026.0,3.0,3.0,OIL PALM TREE,3180.0,1.0,,,50.0,3.0,60.0,42.0,2.0,,,2.0,,,,,,,,,,,,,3000.0,60.0,42.0,0.0,,0.0,,0.0,,0.0,
10027.0,1.0,1.0,GARDEN EGG,2080.0,1.0,,,4360.0,3.0,200.0,1.0,2.0,,,1.0,N1,11.0,1.0,3500.0,1.0,1.0,N2,,,11.0,1.0,3250.0,8150.0,0.0,,11.0,1.0,0.0,,0.0,,0.0,
10027.0,1.0,2.0,MAIZE,1080.0,1.0,,,460.0,3.0,460.0,1.0,2.0,,,1.0,N1,11.0,1.0,900.0,1.0,2.0,,,,,,,900.0,0.0,,0.0,,0.0,,0.0,,0.0,
10027.0,2.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027.0,2.0,2.0,MAIZE,1080.0,1.0,,,375.0,3.0,325.0,1.0,2.0,,,1.0,N1,11.0,1.0,3800.0,1.0,2.0,,,,,,,4100.0,0.0,,11.0,1.0,0.0,,0.0,,0.0,
10027.0,3.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027.0,3.0,2.0,MAIZE,1080.0,1.0,,,420.0,3.0,420.0,1.0,2.0,,,1.0,N1,11.0,1.0,4400.0,1.0,2.0,,,,,,,4700.0,0.0,,11.0,1.0,0.0,,0.0,,0.0,
10027.0,4.0,1.0,PINEAPPLE,2160.0,1.0,,,250.0,3.0,300.0,1.0,2.0,,,1.0,N1,11.0,1.0,22200.0,1.0,1.0,N2,,,11.0,1.0,,44400.0,0.0,,0.0,,0.0,,0.0,,0.0,
10027.0,5.0,1.0,FALLOW FALLOW FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029.0,1.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029.0,1.0,2.0,MAIZE,1080.0,1.0,,,600.0,3.0,7.0,21.0,2.0,,,1.0,N1,2.0,21.0,1000.0,1.0,2.0,,,,,,,10500.0,0.0,,2.0,21.0,0.0,,1.0,21.0,0.5,21.0
10029.0,2.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029.0,3.0,1.0,YAM,1120.0,1.0,,,1000.0,1.0,10.0,11.0,2.0,,,1.0,N1,2.0,11.0,6000.0,1.0,2.0,,,,,,,20000.0,0.0,,3.0,11.0,0.0,,0.5,11.0,0.0,
10029.0,3.0,2.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029.0,3.0,3.0,MAIZE.,1080.0,1.0,,,1000.0,1.0,10.0,21.0,2.0,,,1.0,N1,3.0,21.0,1500.0,1.0,2.0,,,,,,,11000.0,0.0,,2.0,21.0,0.0,,1.0,21.0,1.0,21.0
10029.0,3.0,4.0,PLANTAIN,2170.0,1.0,,,12.0,3.0,12.0,42.0,2.0,,,1.0,N1,4.0,42.0,2400.0,1.0,2.0,,,,,,,8000.0,0.0,,0.0,,0.0,,0.0,,0.0,
10029.0,3.0,5.0,PINEAPPLE,2160.0,1.0,,,20.0,3.0,2.0,22.0,2.0,,,1.0,N1,1.5,22.0,4500.0,1.0,2.0,,,,,,,10000.0,0.0,,0.0,,0.0,,0.0,,0.0,
10029.0,3.0,6.0,COCONUT,3050.0,1.0,,,5.0,1.0,2.5,21.0,2.0,,,1.0,N1,2.0,21.0,3000.0,1.0,2.0,,,,,,,4000.0,0.0,,0.0,,0.0,,0.0,,0.0,
10029.0,3.0,7.0,PALM TREE,3180.0,1.0,,,20.0,3.0,5.0,92.0,2.0,,,2.0,,,,,,,,,,,,,50000.0,0.0,,0.0,,0.0,,14.0,21.0,0.0,
10029.0,3.0,8.0,ORANGE,3170.0,1.0,,,4.0,3.0,2.0,21.0,2.0,,,1.0,N1,2.0,21.0,2500.0,1.0,2.0,,,,,,,2500.0,5.0,92.0,0.0,,0.0,,0.0,,0.0,
10029.0,3.0,9.0,GUAVA,3090.0,1.0,,,2.0,3.0,12.0,21.0,2.0,,,2.0,,,,,,,,,,,,,1500.0,0.0,,0.0,,0.0,,0.0,,0.0,
10030.0,1.0,1.0,YAM.,1120.0,1.0,,,2000.0,1.0,5.0,32.0,2.0,,,2.0,,,,,,,,,,,,,15000.0,0.0,,1.0,32.0,0.0,,0.0,,0.0,
10030.0,1.0,2.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10030.0,1.0,3.0,MELON,1090.0,1.0,,,2000.0,1.0,4.0,31.0,2.0,,,2.0,,,,,,,,,,,,,10000.0,0.0,,1.0,31.0,0.0,,1.5,31.0,0.5,31.0
10030.0,2.0,1.0,YAM,1120.0,1.0,,,2500.0,1.0,6.0,31.0,2.0,,,2.0,,,,,,,,,,,,,20000.0,0.0,,2.0,31.0,0.0,,0.0,,0.0,
10030.0,2.0,2.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
